# russell1000 constituents - refreshed by scripts/refresh_universes.py
NVDA
MTB
HBAN
AXON
ZTS
NTRA
KR
ACGL
COIN
Q
STLD
NTRS
DTE
IQV
PAYX
IR
EQT
NTAP
CNC
EXR
AEE
TPR
EXPE
DOV
RVMD
CFG
GEHC
RBLX
CASY
MSTR
BIIB
NRG
VICI
CNP
RMD
TDY
OTIS
HAL
EIX
CW
FTAI
HUBB
CRS
ATO
RJF
CINF
PPG
XYL
DXCM
PPL
LYV
WSM
ES
ILMN
CPRT
NVT
FICO
PHM
HSY
ATI
SYF
TWLO
FE
DG
AVB
MKSI
CBOE
FTI
WWD
FISV
ENTG
RF
AWK
FSLR
VRSK
EQR
WTW
WDAY
MTD
QSR
MTSI
DRI
MTZ
WST
SW
VEEV
MDB
CHD
MKL
CPAY
LUV
UTHR
CMS
CPNG
PFG
OMC
DGX
ZM
TROW
NI
P
LPLA
DLTR
XPO
LH
FFIV
TPL
INSM
SNX
ULTA
HPQ
VLTO
EXPD
KEY
USFD
BURL
ARES
MRNA
VRSN
AFRM
RPRX
SOFI
PKG
JBHT
DOW
CHRW
RS
RDDT
RBA
EL
STZ
SNA
STE
EXE
FIS
IP
CTSH
OKTA
RBC
EVRG
SBAC
LSCC
KHC
LNT
IFF
EFX
DD
FTV
LEN
L
AMCR
FWONK
VTRS
FCNCA
GIS
BWXT
HEIA
TLN
WY
NVR
INVH
ESS
ZBH
VIK
BRO
EWBC
LII
ROKU
INCY
ALB
FDXF
BAM
AKAM
CDW
RGLD
IEX
WCC
KIM
HST
SMCI
BALL
ITT
PFGC
GNRC
MAS
BR
TSN
CF
NBIX
TSCO
NDSN
THC
WPC
NLY
GPN
WRB
MAA
ONTO
RL
CSL
DECK
FLUT
TOL
SGI
GPC
TXT
OVV
APG
CLH
DKS
BBY
UNM
LVS
DTM
ASTS
SUI
EG
LECO
SCCO
BWA
RRX
BG
ROIV
J
DOC
MLI
REG
MDLN
LYB
EXEL
HEI
PNFP
ARMK
JLL
OHI
GL
SWK
RNR
WSO
SSNC
RKT
RPM
SOLS
COO
RGA
AA
LAMR
JAZZ
PTC
TKO
TEAM
ROL
LDOS
EQH
TRU
APTV
AIZ
PR
GEN
ZS
CCK
AIT
UDR
AVY
EVR
FNF
ZBRA
ALLY
PNW
WBS
CSGP
TXRH
GGG
RVTY
GLPI
TYL
PNR
FHN
NTNX
MKC
DT
ARW
ELS
CPT
TOST
TRMB
PEN
LULU
IONS
CLX
BLD
DKNG
PINS
APA
ELAN
ALGN
HAS
AGNC
BJ
SN
KNX
AAL
NYT
SJM
ALLE
MEDP
RIVN
OC
SAIA
TW
GDDY
SOLV
LFUS
AMH
VMI
CHTR
CGNX
QXO
SWKS
HII
SF
BMRN
WTRG
BAX
CG
BPOP
RBRK
AES
FRT
EGP
WTFC
DINO
WMS
FOXA
R
PODD
ESI
CR
SCI
AMKR
GFS
MOH
FIVE
CACI
COKE
EHC
BXP
AR
ALSN
DCI
SSB
OGE
BRX
ZION
CRL
IOT
NWSA
MGM
IVZ
AMG
JKHY
AYI
TTC
TECH
NCLH
COLB
GWRE
PRI
OSK
ACM
FLS
BLDR
GMED
ORI
IT
HUBS
DPZ
AFG
CNM
SEIC
CUBE
MUSA
CNH
AAON
TIGO
W
DOCU
CFR
JEF
ARE
BEN
SSD
GME
VOYA
HSIC
NNN
U
WAL
ADC
TKR
RRC
BROS
MTCH
AXS
SFM
DAR
HALO
ATR
QRVO
FDS
ECG
RAL
CAVA
ONON
H
VNOM
CRCL
MP
EMN
CRUS
MIDD
CART
FR
REXR
TTD
QGEN
WYNN
IDA
MANH
CRBG
UGI
CORT
UHS
KEX
BAH
HXL
THG
TTEK
ETSY
AXTA
DVA
AM
HLI
HRL
CBSH
LSTR
AGCO
EXP
LAD
AUR
STAG
RGEN
NFG
KMX
AVT
LEA
CHRD
AOS
GTES
TAP
FNB
LKQ
M
NOV
ALGM
ST
OMF
KNSL
POOL
AWI
FOX
VNO
HR
MOS
JHG
PB
PAYC
FAF
WH
CAG
RYN
LNC
AVTR
CHE
XP
ENPH
MSA
PRMB
INGR
MHK
LW
SARO
CROX
WFRD
VFC
CZR
FND
BRKR
MTG
CLF
MTDR
ALK
MSGS
GNTX
GXO
DOX
LYFT
STWD
UHALB
OZK
TFX
VSNT
FBIN
ESAB
CHDN
BC
BIO
SON
TREX
AN
SIRI
VIRT
AS
CE
VVV
OWL
MTN
ESTC
LPX
SITE
MSM
WSC
BYD
BEPC
ACI
TPG
TEM
DUOL
Z
PCOR
SLM
SAIC
DBX
WEX
WTM
GAP
HRB
TNL
CUZ
RITM
NXST
BBWI
CELH
NEU
RLI
LLYVK
G
PCTY
S
MRP
BSY
FCN
PLNT
MDU
MAT
VNT
OLLI
POST
CHWY
MKTX
EPAM
KBR
CPB
EPR
WING
CWEN
NVST
KRC
EXLS
SHC
PATH
BF-B
COLD
LOPE
IRDM
VKTX
THO
JHX
YETI
BFAM
OLED
SLGN
GTLB
BHF
LAZ
FHB
NWS
AGO
RYAN
MORN
OGN
PVH
ELF
LBRDK
DRS
ADT
DLB
PAG
APPF
TDC
GPK
AMTM
HIW
LOAR
CAR
HAYW
RHI
PPLI
VGNT
NSA
SMG
HLNE
PK
FOUR
QS
CHH
LINE
HOG
ASH
DOCS
BILL
CCC
RNG
IPGP
PENN
EEFT
PSN
BOKF
PEGA
KD
RARE
WLK
FRPT
OLN
BIRK
FRHC
UI
NWL
HHH
CACC
KRMN
RH
ACHC
MPT
CXT
XRAY
FWONA
WHR
WU
HUN
LLYVA
LBTYA
DDS
COLM
SMMT
CAI
SNDR
KMPR
NCNO
BRBR
MAN
SRPT
LBTYK
DXC
ZG
DV
SAM
FLO
FMC
WEN
REYN
BFA
SEB
PRGO
INSP
GLOB
DJT
UAA
CNA
UA
SFD
CNXC
PPC
TFSL
FIGR
CLVT
LENB
GTM
BLSH
COTY
SAIL
GLIBK
LCID
CERT
CBC
UHAL
LBRDA
INGM
NIQ
UWMC
FRMI
GLIBA
HOLX
THE CONTENT CONTAINED HEREIN IS OWNED OR LICENSED BY BLACKROCK AND/OR ITS THIRD-PARTY INFORMATION PROVIDERS AND IS PROTECTED BY APPLICABLE COPYRIGHTS, TRADEMARKS, SERVICE MARKS, AND/OR OTHER INTELLECTUAL PROPERTY RIGHTS- SUCH CONTENT IS SOLELY FOR YOUR PERSONAL, NON-COMMERCIAL USE- ACCORDINGLY, YOU MAY NOT COPY, DISTRIBUTE, MODIFY, POST, FRAME OR DEEP LINK THIS CONTENT- YOU MAY DOWNLOAD MATERIAL DISPLAYED ON THIS WEBSITE FOR YOUR PERSONAL USE PROVIDED YOU ALSO RETAIN ALL COPYRIGHT AND OTHER PROPRIETARY NOTICES CONTAINED ON THE MATERIALS- MODIFICATION OR USE OF THE MATERIALS FOR ANY OTHER PURPOSE VIOLATES BLACKROCK'S INTELLECTUAL PROPERTY RIGHTS-HOLDINGS SUBJECT TO CHANGE- SEE WWW-ISHARES-COM FOR THE MOST RECENT FUNDS HOLDINGS-THE VALUES FOR “PRICE” SHOWN HEREIN GENERALLY REPRESENT A PRICE PROVIDED BY A THIRD-PARTY PRICING VENDOR FOR THE PORTFOLIO HOLDING AND DO NOT REFLECT THE IMPACT OF SYSTEMATIC FAIR VALUATION (“THE VENDOR PRICE”)- THE VENDOR PRICE IS NOT NECESSARILY THE PRICE AT WHICH THE FUND VALUES THE PORTFOLIO HOLDING FOR THE PURPOSES OF DETERMINING ITS NET ASSET VALUE (THE “VALUATION PRICE”)- ADDITIONALLY, WHERE APPLICABLE, FOREIGN CURRENCY EXCHANGE RATES WITH RESPECT TO THE PORTFOLIO HOLDINGS DENOMINATED IN NON-U-S- CURRENCIES FOR THE VALUATION PRICE WILL BE GENERALLY DETERMINED AS OF THE CLOSE OF BUSINESS ON THE NEW YORK STOCK EXCHANGE, WHEREAS FOR THE VENDOR PRICE WILL BE GENERALLY DETERMINED AS OF 4 P-M- LONDON- THE VALUES SHOWN HEREIN FOR “MARKET VALUE,” “WEIGHT,” AND “NOTIONAL VALUE” (THE “CALCULATED VALUES”) ARE BASED OFF OF THE VENDOR PRICE AND MAY HAVE BEEN DIFFERENT IF THE VALUATION PRICE WERE TO HAVE BEEN USED TO CALCULATE SUCH VALUES- THE VENDOR PRICE IS AS OF THE MOST RECENT PRACTICABLE DATE AND MAY NOT NECESSARILY BE AS OF THE DATE SHOWN ABOVE-PLEASE SEE THE “DETERMINATION OF NET ASSET VALUE” SECTION OF EACH FUND’S PROSPECTUS FOR ADDITIONAL INFORMATION ON THE FUND’S VALUATION POLICIES AND PROCEDURES-CAREFULLY CONSIDER THE FUNDS' INVESTMENT OBJECTIVES, RISK FACTORS, AND CHARGES AND EXPENSES BEFORE INVESTING- THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS' PROSPECTUSES OR, IF AVAILABLE, THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING WWW-ISHARES-COM OR WWW-BLACKROCK-COM- READ THE PROSPECTUS CAREFULLY BEFORE INVESTING- INVESTING INVOLVES RISK, INCLUDING POSSIBLE LOSS OF PRINCIPAL-THIS INFORMATION SHOULD NOT BE RELIED UPON AS RESEARCH, INVESTMENT ADVICE, OR A RECOMMENDATION REGARDING ANY PRODUCTS, STRATEGIES, OR ANY SECURITY IN PARTICULAR-THIS MATERIAL IS STRICTLY FOR ILLUSTRATIVE, EDUCATIONAL, OR INFORMATIONAL PURPOSES AND IS SUBJECT TO CHANGE-THE FUNDS ARE DISTRIBUTED BY BLACKROCK INVESTMENTS, LLC (TOGETHER WITH ITS AFFILIATES, “BLACKROCK”)-THE ISHARES FUNDS ARE NOT SPONSORED, ENDORSED, ISSUED, SOLD OR PROMOTED BY BLOOMBERG, BLACKROCK INDEX SERVICES, LLC, CBOE GLOBAL INDICES, LLC, COHEN & STEERS, EUROPEAN PUBLIC REAL ESTATE ASSOCIATION (“EPRA® ”), FTSE INTERNATIONAL LIMITED (“FTSE”), ICE DATA INDICES, LLC, NSE INDICES LTD, JPMORGAN, JPX GROUP, LONDON STOCK EXCHANGE GROUP (“LSEG”), MSCI INC-, MARKIT INDICES LIMITED, MORNINGSTAR, INC-, NASDAQ, INC-, NATIONAL ASSOCIATION OF REAL ESTATE INVESTMENT TRUSTS (“NAREIT”), NIKKEI, INC-, RUSSELL, S&P DOW JONES INDICES LLC OR STOXX LTD- NONE OF THESE COMPANIES MAKE ANY REPRESENTATION REGARDING THE ADVISABILITY OF INVESTING IN THE FUNDS- WITH THE EXCEPTION OF BLACKROCK INDEX SERVICES, LLC, WHO IS AN AFFILIATE, BLACKROCK INVESTMENTS, LLC IS NOT AFFILIATED WITH THE COMPANIES LISTED ABOVE- NEITHER FTSE, LSEG, NOR NAREIT MAKES ANY WARRANTY REGARDING THE FTSE NAREIT EQUITY REITS INDEX, FTSE NAREIT ALL RESIDENTIAL CAPPED INDEX OR FTSE NAREIT ALL MORTGAGE CAPPED INDEX- NEITHER FTSE, EPRA, LSEG, NOR NAREIT MAKES ANY WARRANTY REGARDING THE FTSE EPRA NAREIT DEVELOPED EX-U-S- INDEX, FTSE EPRA NAREIT DEVELOPED GREEN TARGET INDEX OR FTSE EPRA NAREIT GLOBAL REITS INDEX- “FTSE®” IS A TRADEMARK OF LONDON STOCK EXCHANGE GROUP COMPANIES AND IS USED BY FTSE UNDER LICENSE-©2023 BLACKROCK, INC OR ITS AFFILIATES- ALL RIGHTS RESERVED- ISHARES, IBONDS AND BLACKROCK ARE TRADEMARKS OF BLACKROCK, INC- OR ITS AFFILIATES- ALL OTHER TRADEMARKS ARE THOSE OF THEIR RESPECTIVE OWNERS-
